"inquisit.version","computer.platform","startdate","starttime","subjectid","groupid","sessionid","elapsedtime","completed","exp_condition","releasecondition","weathercondition","maxnr_fishinpond","maxnr_trips","fixedsampling","reward","total_winnings","lstotalearnings","tripcount","successtrip","totalfishingcount","lstotalfishingcount","adj_totalfishingcount","total_suddenends","lstotalend","avg_fishingcount","adjavg_fishingcount","mean_castlatency"
"6.6.1","win","2023-09-07","10:07:17","R_3nloSUxnqwpQ7g5","979721697","1","194504","1","2","1","2","32","10","0","5","195","/15/25/40/0/55/0/0/0/25/35","10","6","59","/3/5/8/2/11/11/6/1/5/7","39","4","/0/0/0/1/0/1/1/1/0/0","5.9000000000000003553","6.5","6569.1428571428568830015"
"6.6.3","and","2023-09-07","12:09:55","R_1DwL4zLXS5v0fc9","979721699","1","151449","1","2","1","2","32","10","0","5","125","/0/5/5/5/5/20/40/0/0/45","10","7","64","/1/1/1/1/1/4/8/28/10/9","25","3","/1/0/0/0/0/0/0/1/1/0","6.4000000000000003553","3.5714285714285716189","5542.3333333333330301684"
"6.6.1","win","2023-09-07","10:11:53","R_1pyOVJ8SUCmrqqy","979721709","1","127300","1","2","1","2","32","10","0","5","270","/0/20/30/30/40/65/85/0/0/0","10","6","85","/1/4/6/6/8/13/17/12/11/7","54","4","/1/0/0/0/0/0/0/1/1/1","8.5","9","6539.5714285714284415008"
"6.6.1","win","2023-09-07","13:13:12","R_20TE9qPvldFW9od","979721710","1","73834","1","2","1","2","32","10","0","5","270","/25/40/0/35/55/115/0/0/0/0","10","5","81","/5/8/2/7/11/23/3/2/6/14","54","5","/0/0/1/0/0/0/1/1/1/1","8.0999999999999996447","10.8000000000000007105","1504.0714285714286688744"
"6.6.1","win","2023-09-07","10:12:44","R_2UfH2aCUeKGg4DA","979721707","1","142743","1","2","1","2","32","10","0","5","360","/20/0/0/25/15/55/0/50/100/95","10","7","129","/4/24/12/5/3/11/21/10/20/19","72","3","/0/1/1/0/0/0/1/0/0/0","12.9000000000000003553","10.2857142857142864756","2367.5789473684212680382"
"6.6.1","mac","2023-09-07","13:12:28","R_237xVlZzBhaT9Mp","979721706","1","164492","1","2","1","2","32","10","0","5","290","/0/75/0/0/0/115/0/0/0/100","10","3","181","/2/15/28/31/10/23/10/21/21/20","58","7","/1/0/1/1/1/0/1/1/1/0","18.1000000000000014211","19.3333333333333321491","3057.0500000000001818989"
"6.6.1","mac","2023-09-07","10:13:17","R_39SxzzFKDV8PwLn","979721701","1","133394","1","2","1","2","32","10","0","5","175","/15/0/25/5/25/20/35/0/20/30","10","8","48","/3/1/5/1/5/4/7/12/4/6","35","2","/0/1/0/0/0/0/0/1/0/0","4.7999999999999998224","4.375","5794.8333333333330301684"
"6.6.0","win","2023-09-07","12:15:45","R_qCv6p9cXaGZetNf","979721711","1","71858","1","2","1","2","32","10","0","5","445","/100/0/0/30/35/55/65/45/30/85","10","8","117","/20/16/12/6/7/11/13/9/6/17","89","2","/0/1/1/0/0/0/0/0/0/0","11.6999999999999992895","11.125","1386.2352941176470721985"
"6.6.1","win","2023-09-07","13:14:55","R_1Clqfmuo3Ygfq57","979721708","1","167069","1","2","1","2","32","10","0","5","235","/0/40/0/0/0/0/35/40/55/65","10","5","81","/2/8/19/1/10/2/7/8/11/13","47","5","/1/0/1/1/1/1/0/0/0/0","8.0999999999999996447","9.4000000000000003553","8179.4615384615381117328"
"6.6.1","mac","2023-09-07","12:17:03","R_DVkIL0jxMh8Dvyx","979721712","1","86803","1","2","1","2","32","10","0","5","160","/0/0/80/0/0/0/0/80/0/0","10","2","120","/28/11/16/3/13/18/2/16/4/9","32","8","/1/1/0/1/1/1/1/0/1/1","12","16","3161.5555555555556566105"
"6.6.1","win","2023-09-07","11:19:57","R_2xDItEvOFaopxDX","979721714","1","97539","1","2","1","2","32","10","0","5","150","/0/0/25/25/0/25/0/25/25/25","10","6","43","/5/6/5/5/1/5/1/5/5/5","30","4","/1/1/0/0/1/0/1/0/0/0","4.2999999999999998224","5","4099"
"6.6.3","and","2023-09-07","12:19:38","R_1cYXrNmTNDeJv5F","979721713","1","61532","1","2","1","2","32","10","0","5","180","/15/30/15/40/15/25/0/0/15/25","10","8","62","/3/6/3/8/3/5/16/10/3/5","36","2","/0/0/0/0/0/0/1/1/0/0","6.2000000000000001776","4.5","5212.1999999999998181011"
"6.6.1","win","2023-09-07","13:22:59","R_3HChIKI6I1npixa","979721715","1","130264","1","2","1","2","32","10","0","5","60","/0/0/0/0/0/0/0/0/0/60","10","1","170","/13/28/22/26/3/11/5/29/21/12","12","9","/1/1/1/1/1/1/1/1/1/0","17","12","3700.0833333333334849158"
"6.6.1","mac","2023-09-07","13:24:55","R_31Tt22MFZcP38Tn","979721719","1","147195","1","2","1","2","32","10","0","5","315","/25/60/0/35/30/0/20/35/45/65","10","8","73","/5/12/4/7/6/6/4/7/9/13","63","2","/0/0/1/0/0/1/0/0/0/0","7.2999999999999998224","7.875","3787.2307692307690558664"
"6.6.3","and","2023-09-07","12:23:50","R_3RgsdVmilD8tf7I","979721717","1","238979","1","2","1","2","32","10","0","5","300","/50/0/40/50/50/0/50/60/0/0","10","6","103","/10/9/8/10/10/24/10/12/5/5","60","4","/0/1/0/0/0/1/0/0/1/1","10.3000000000000007105","10","21046"
"6.6.1","win","2023-09-07","10:25:36","R_12rNOY0UXct2fP8","979721721","1","142208","1","2","1","2","32","10","0","5","475","/0/100/0/0/100/100/100/0/0/75","10","5","167","/27/20/18/1/20/20/20/13/13/15","95","5","/1/0/1/1/0/0/0/1/1/0","16.6999999999999992895","19","3854.1333333333332120674"
"6.6.3","and","2023-09-07","13:26:01","R_TcNY7CRO7da9aAF","979721720","1","102660","1","2","1","2","32","10","0","5","185","/105/0/0/0/0/0/80/0/0/0","10","2","144","/21/30/2/16/16/14/16/12/10/7","37","8","/0/1/1/1/1/1/0/1/1/1","14.4000000000000003553","18.5","6300.4285714285715584992"
"6.6.1","win","2023-09-07","11:24:58","R_D0LGkUY8LGA49YR","979721716","1","183030","1","2","1","2","32","10","0","5","475","/40/75/0/0/60/110/0/80/110/0","10","6","140","/8/15/18/5/12/22/2/16/22/20","95","4","/0/0/1/1/0/0/1/0/0/1","14","15.8333333333333339255","3874.4499999999998181011"
"6.6.1","win","2023-09-07","10:26:22","R_4VB2iP48gA5B8Ih","979721722","1","133539","1","2","1","2","32","10","0","5","150","/0/15/15/15/20/25/25/0/15/20","10","8","38","/6/3/3/3/4/5/5/2/3/4","30","2","/1/0/0/0/0/0/0/1/0/0","3.7999999999999998224","3.75","5876.5"
"6.6.1","win","2023-09-07","12:30:04","R_ebScPbJ21gXxA09","979721736","1","46211","1","2","1","2","32","10","0","5","125","/10/20/0/15/10/15/15/10/15/15","10","9","28","/2/4/3/3/2/3/3/2/3/3","25","1","/0/0/1/0/0/0/0/0/0/0","2.7999999999999998224","2.7777777777777776791","6741.3333333333330301684"
"6.6.1","win","2023-09-07","12:29:52","R_306oRkMPTYICJiK","979721729","1","67311","1","2","1","2","32","10","0","5","240","/0/50/30/30/30/0/20/25/25/30","10","8","56","/1/10/6/6/6/7/4/5/5/6","48","2","/1/0/0/0/0/1/0/0/0/0","5.5999999999999996447","6","4427.5"
"6.6.1","mac","2023-09-07","11:30:00","R_2X1zDsbJBHlozDZ","979721724","1","95426","1","2","1","2","32","10","0","5","255","/10/10/15/25/50/80/0/0/65/0","10","7","76","/2/2/3/5/10/16/2/4/13/19","51","3","/0/0/0/0/0/0/1/1/0/1","7.5999999999999996447","7.2857142857142855874","2500.7368421052633493673"
"6.6.1","win","2023-09-07","10:30:45","R_ZIcXZwugiD3cUxP","979721730","1","81771","1","2","1","2","32","10","0","5","135","/15/0/25/10/0/30/15/10/30/0","10","7","31","/3/1/5/2/1/6/3/2/6/2","27","3","/0/1/0/0/1/0/0/0/0/1","3.1000000000000000888","3.8571428571428572063","12689"
"6.6.1","win","2023-09-07","13:30:27","R_3FPXuWZxbNxfawU","979721727","1","101048","1","2","1","2","32","10","0","5","150","/0/25/0/5/0/25/40/55/0/0","10","5","59","/6/5/2/1/1/5/8/11/11/9","30","5","/1/0/1/0/1/0/0/0/1/1","5.9000000000000003553","6","3540.111111111111313221"
"6.6.1","win","2023-09-07","13:31:31","R_2S0oGiH2FalMO26","979721742","1","61451","1","2","1","2","32","10","0","5","465","/60/60/90/0/60/60/60/0/75/0","10","7","132","/12/12/18/15/12/12/12/1/15/23","93","3","/0/0/0/1/0/0/0/1/0/1","13.1999999999999992895","13.2857142857142864756","1485.0869565217392391787"
"6.6.1","win","2023-09-07","12:31:11","R_3CZ6Hy5k7A2Icpm","979721728","1","86846","1","2","1","2","32","10","0","5","315","/40/0/45/50/45/45/0/45/45/0","10","7","101","/8/10/9/10/9/9/1/9/9/27","63","3","/0/1/0/0/0/0/1/0/0/1","10.0999999999999996447","9","1618.740740740740648107"
"6.6.0","win","2023-09-07","13:30:26","R_1Le9eCO9MHcKbci","979721731","1","137161","1","2","1","2","32","10","0","5","360","/25/50/0/0/45/45/45/50/50/50","10","8","87","/5/10/2/13/9/9/9/10/10/10","72","2","/0/0/1/1/0/0/0/0/0/0","8.6999999999999992895","9","5290.6999999999998181011"
"6.6.1","win","2023-09-07","10:31:05","R_2c0KSMPiS6xbBoC","979721737","1","129716","1","2","1","2","32","10","0","5","285","/45/60/0/65/0/65/0/0/50/0","10","5","101","/9/12/14/13/13/13/8/5/10/4","57","5","/0/0/1/0/1/0/1/1/0/1","10.0999999999999996447","11.4000000000000003553","14159.75"
"6.6.1","win","2023-09-07","12:27:16","R_21nPvCQm51nRU5B","979721718","1","394896","1","2","1","2","32","10","0","5","185","/15/20/15/10/15/20/25/30/35/0","10","9","41","/3/4/3/2/3/4/5/6/7/4","37","1","/0/0/0/0/0/0/0/0/0/1","4.0999999999999996447","4.1111111111111107164","41709.75"
"6.6.1","win","2023-09-07","13:31:25","R_1LqDsozFuxO7aFY","979721732","1","173666","1","2","1","2","32","10","0","5","300","/0/50/0/50/50/0/50/50/50/0","10","6","102","/3/10/10/10/10/10/10/10/10/19","60","4","/1/0/1/0/0/1/0/0/0/1","10.1999999999999992895","10","4755.105263157895024051"
"6.6.1","win","2023-09-07","13:31:59","R_1Ck0nLRI867bdZz","979721723","1","140497","1","2","1","2","32","10","0","5","345","/30/50/70/80/0/0/45/70/0/0","10","6","98","/6/10/14/16/12/9/9/14/7/1","69","4","/0/0/0/0/1/1/0/0/1/1","9.8000000000000007105","11.5","51235"
"6.6.1","win","2023-09-07","13:31:52","R_3fYSNgsyQ4mnybz","979721726","1","156021","1","2","1","2","32","10","0","5","400","/50/50/50/0/50/0/50/50/50/50","10","8","95","/10/10/10/6/10/9/10/10/10/10","80","2","/0/0/0/1/0/1/0/0/0/0","9.5","10","8106.3999999999996362021"
"6.6.1","mac","2023-09-07","13:33:59","R_pN0IAgVmbXqcAdH","979721746","1","67564","1","2","1","2","32","10","0","5","160","/25/0/20/20/0/15/20/20/15/25","10","8","40","/5/3/4/4/5/3/4/4/3/5","32","2","/0/1/0/0/1/0/0/0/0/0","4","4","4854.8000000000001818989"
"6.6.1","win","2023-09-07","12:34:26","R_2ANlqvOD8tBWJqC","979721748","1","106979","1","2","1","2","32","10","0","5","170","/50/0/0/0/0/0/0/80/40/0","10","3","101","/10/5/2/17/15/13/14/16/8/1","34","7","/0/1/1/1/1/1/1/0/0/1","10.0999999999999996447","11.3333333333333339255","45642"
"6.6.1","win","2023-09-07","13:34:07","R_2SJrfAl5h6GFCKU","979721738","1","159132","1","2","1","2","32","10","0","5","235","/0/0/0/0/0/70/0/80/0/85","10","3","153","/31/23/3/1/25/14/1/16/22/17","47","7","/1/1/1/1/1/0/1/0/1/0","15.3000000000000007105","15.6666666666666660745","4408.0588235294117112062"
"6.6.1","win","2023-09-07","13:35:19","R_vuFgEjNL0xQHSCJ","979721749","1","85403","1","2","1","2","32","10","0","5","230","/0/0/15/15/25/40/50/45/40/0","10","7","66","/12/4/3/3/5/8/10/9/8/4","46","3","/1/1/0/0/0/0/0/0/0/1","6.5999999999999996447","6.5714285714285711748","8880"
"6.6.1","win","2023-09-07","13:34:32","R_3ffNUKvS5IDVsLH","979721744","1","148327","1","2","1","2","32","10","0","5","210","/25/35/30/40/0/0/0/25/25/30","10","7","62","/5/7/6/8/8/5/7/5/5/6","42","3","/0/0/0/0/1/1/1/0/0/0","6.2000000000000001776","6","7433.5"
"6.6.1","mac","2023-09-07","13:36:12","R_rdRWbChLo8ictfH","979721752","1","54594","1","2","1","2","32","10","0","5","145","/5/0/15/15/20/30/0/35/0/25","10","7","40","/1/5/3/3/4/6/1/7/5/5","29","3","/0/1/0/0/0/0/1/0/1/0","4","4.1428571428571432378","2877.5999999999999090505"
"6.6.1","and","2023-09-07","10:36:04","R_1NkpiBgMGTe4hd6","979721755","1","53135","1","2","1","2","32","10","0","5","305","/100/0/50/50/0/55/50/0/0/0","10","5","101","/20/12/10/10/1/11/10/11/11/5","61","5","/0/1/0/0/1/0/0/1/1/1","10.0999999999999996447","12.1999999999999992895","5440.8000000000001818989"
"6.6.1","mac","2023-09-07","10:36:08","R_1jjQKU5mBsnXO7v","979721751","1","100187","1","2","1","2","32","10","0","5","190","/20/25/0/30/25/0/25/15/25/25","10","8","40","/4/5/1/6/5/1/5/3/5/5","38","2","/0/0/1/0/0/1/0/0/0/0","4","4.75","3928.4000000000000909495"
"6.6.1","win","2023-09-07","12:36:26","R_5chA37yjOv7crVn","979721754","1","82615","1","2","1","2","32","10","0","5","220","/25/0/45/0/0/25/40/0/40/45","10","6","76","/5/17/9/2/10/5/8/3/8/9","44","4","/0/1/0/1/1/0/0/1/0/0","7.5999999999999996447","7.3333333333333330373","3224.4444444444443433895"
"6.6.1","win","2023-09-07","13:36:06","R_QnChw8hmwZLtAHv","979721740","1","104044","1","2","1","2","32","10","0","5","365","/0/30/35/0/55/0/50/60/60/75","10","7","90","/7/6/7/6/11/4/10/12/12/15","73","3","/1/0/0/1/0/1/0/0/0/0","9","10.4285714285714288252","2773.8666666666667879326"
"6.6.1","win","2023-09-07","13:34:35","R_b4w4l68SyTiJh7P","979721745","1","219459","1","2","1","2","32","10","0","5","270","/25/0/30/30/0/55/40/40/50/0","10","7","68","/5/4/6/6/1/11/8/8/10/9","54","3","/0/1/0/0/1/0/0/0/0/1","6.7999999999999998224","7.7142857142857144126","5176.7777777777773735579"
"6.6.1","mac","2023-09-07","10:36:47","R_3MogVAG2sJ4YxL1","979721753","1","121671","1","2","1","2","32","10","0","5","210","/5/5/15/0/25/40/120/0/0/0","10","6","101","/1/1/3/5/5/8/24/18/31/5","42","4","/0/0/0/1/0/0/0/1/1/1","10.0999999999999996447","7","12045"
"6.6.1","mac","2023-09-07","13:39:40","R_3I43wNW3DgwfWyu","979721768","1","58084","1","2","1","2","32","10","0","5","340","/0/0/30/50/35/35/60/65/65/0","10","8","94","/9/0/6/10/7/7/12/13/13/17","68","2","/1/0/0/0/0/0/0/0/0/1","9.4000000000000003553","8.5","1399.3529411764704946108"
"6.6.1","mac","2023-09-07","13:37:31","R_2zAttwiJ6MiXcwJ","979721750","1","204931","1","2","1","2","32","10","0","5","395","/0/45/50/55/60/65/0/0/60/60","10","7","104","/12/9/10/11/12/13/10/3/12/12","79","3","/1/0/0/0/0/0/1/1/0/0","10.4000000000000003553","11.2857142857142864756","12058.5833333333339396631"
"6.6.1","win","2023-09-07","10:42:14","R_24d5O4wCaTkBhHM","979721757","1","80246","1","2","1","2","32","10","0","5","260","/20/25/0/60/0/0/30/25/50/50","10","7","85","/4/5/16/12/10/7/6/5/10/10","52","3","/0/0/1/0/1/1/0/0/0/0","8.5","7.4285714285714288252","3258.4000000000000909495"
"6.6.1","win","2023-09-07","12:40:20","R_RaYUx4WAx8mpVMB","979721767","1","79650","1","2","1","2","32","10","0","5","105","/20/15/15/15/0/10/10/10/0/10","10","8","23","/4/3/3/3/1/2/2/2/1/2","21","2","/0/0/0/0/1/0/0/0/1/0","2.2999999999999998224","2.625","9564.5"
"6.6.1","win","2023-09-07","11:40:12","R_1KwlQk8gZjuB0Lg","979721758","1","98673","1","2","1","2","32","10","0","5","410","/45/50/0/50/60/75/80/0/0/50","10","7","108","/9/10/4/10/12/15/16/4/18/10","82","3","/0/0/1/0/0/0/0/1/1/0","10.8000000000000007105","11.7142857142857135244","4791.6000000000003637979"
"6.6.1","win","2023-09-07","12:39:50","R_3Pibfr1g5eOWaXX","979721762","1","129377","1","2","1","2","32","10","0","5","250","/0/40/30/45/0/50/35/50/0/0","10","6","77","/7/8/6/9/4/10/7/10/6/10","50","4","/1/0/0/0/1/0/0/0/1/1","7.7000000000000001776","8.3333333333333339255","3743.8000000000001818989"
"6.6.1","win","2023-09-07","13:40:31","R_10DjYJnE7Igyslq","979721765","1","113681","1","2","1","2","32","10","0","5","275","/40/80/0/105/0/0/0/0/50/0","10","4","103","/8/16/3/21/1/18/2/14/10/10","55","6","/0/0/1/0/1/1/1/1/0/1","10.3000000000000007105","13.75","2946.4000000000000909495"
"6.6.1","win","2023-09-07","13:40:50","R_2c2gWBGXQOq70fY","979721763","1","132113","1","2","1","2","32","10","0","5","440","/0/55/80/0/65/80/0/0/80/80","10","6","136","/11/11/16/14/13/16/16/7/16/16","88","4","/1/0/0/1/0/0/1/1/0/0","13.5999999999999996447","14.6666666666666660745","2039.4375"
"6.6.1","win","2023-09-07","13:41:55","R_3nPlZ5Q7i4mVAyS","979721771","1","74150","1","2","1","2","32","10","0","5","185","/0/20/0/40/0/0/35/40/50/0","10","5","55","/2/4/7/8/2/3/7/8/10/4","37","5","/1/0/1/0/1/1/0/0/0/1","5.5","7.4000000000000003553","7787.75"
"6.6.0","win","2023-09-07","11:41:12","R_3nI47XPwsyou6bO","979721769","1","160062","1","2","1","2","32","10","0","5","285","/0/10/0/60/0/65/75/0/75/0","10","5","91","/4/2/15/12/6/13/15/3/15/6","57","5","/1/0/1/0/1/0/0/1/0/1","9.0999999999999996447","11.4000000000000003553","8462"
"6.6.1","win","2023-09-07","13:41:47","R_1N7ZBvlvnOsxNch","979721760","1","156742","1","2","1","2","32","10","0","5","185","/25/0/25/30/0/25/35/0/25/20","10","7","56","/5/8/5/6/4/5/7/7/5/4","37","3","/0/1/0/0/1/0/0/1/0/0","5.5999999999999996447","5.2857142857142855874","7686.75"
"6.6.3","and","2023-09-07","10:41:34","R_u50mRjyRLiirEDD","979721766","1","171867","1","2","1","2","32","10","0","5","600","/0/100/100/100/100/100/0/100/0/0","10","6","167","/18/20/20/20/20/20/9/20/3/17","120","4","/1/0/0/0/0/0/1/0/1/1","16.6999999999999992895","20","3429.6470588235292780155"
"6.6.1","win","2023-09-07","13:43:09","R_1rGoCgfIi0p1iW0","979721777","1","105698","1","2","1","2","32","10","0","5","150","/0/0/0/0/50/0/0/0/50/50","10","3","82","/9/13/12/5/10/7/1/5/10/10","30","7","/1/1/1/1/0/1/1/1/0/0","8.1999999999999992895","10","3814.5999999999999090505"
"6.6.1","win","2023-09-07","10:42:29","R_1gNKGJYLt2iLA8E","979721764","1","144792","1","2","1","2","32","10","0","5","480","/40/0/20/35/50/60/65/70/75/65","10","9","100","/8/4/4/7/10/12/13/14/15/13","96","1","/0/1/0/0/0/0/0/0/0/0","10","10.6666666666666660745","4713.0769230769228670397"
"6.6.1","win","2023-09-07","13:44:13","R_2TMHgcJoy9gt0EI","979721785","1","48798","1","2","1","2","32","10","0","5","130","/25/25/0/0/0/15/10/15/20/20","10","7","34","/5/5/3/4/1/3/2/3/4/4","26","3","/0/0/1/1/1/0/0/0/0/0","3.3999999999999999112","3.7142857142857144126","5249"
"6.6.1","win","2023-09-07","12:42:07","R_3k54sdeVpmWvxqT","979721773","1","188675","1","2","1","2","32","10","0","5","255","/25/35/50/55/0/0/55/0/35/0","10","6","70","/5/7/10/11/10/2/11/6/7/1","51","4","/0/0/0/0/1/1/0/1/0/1","7","8.5","69583"
"6.6.1","mac","2023-09-07","12:42:41","R_3npZ0OTDXp204qr","979721761","1","176116","1","2","1","2","32","10","0","5","295","/25/30/35/40/45/0/0/40/40/40","10","8","66","/5/6/7/8/9/5/2/8/8/8","59","2","/0/0/0/0/0/1/1/0/0/0","6.5999999999999996447","7.375","8475.75"
"6.6.1","win","2023-09-07","12:49:16","R_elkNRijfgGEGmrL","979721775","1","133258","1","2","1","2","32","10","0","5","325","/0/45/35/30/35/35/40/40/35/30","10","9","72","/7/9/7/6/7/7/8/8/7/6","65","1","/1/0/0/0/0/0/0/0/0/0","7.2000000000000001776","7.2222222222222223209","12023.5"
"6.6.1","win","2023-09-07","12:44:12","R_3sBPU939owWUqoU","979721781","1","133723","1","2","1","2","32","10","0","5","190","/20/25/15/20/15/25/25/20/15/10","10","10","38","/4/5/3/4/3/5/5/4/3/2","38","0","/0/0/0/0/0/0/0/0/0/0","3.7999999999999998224","3.7999999999999998224","23678.5"
"6.6.1","win","2023-09-07","10:45:20","R_UckHsZStW8iPmj7","979721786","1","104876","1","2","1","2","32","10","0","5","270","/0/80/0/0/0/65/0/70/55/0","10","4","127","/26/16/17/12/2/13/15/14/11/1","54","6","/1/0/1/1/1/0/1/0/0/1","12.6999999999999992895","13.5","36063"
"6.6.1","win","2023-09-07","12:45:19","R_1Fh0kUzfRTuuEVD","979721776","1","103499","1","2","1","2","32","10","0","5","215","/10/25/0/20/25/30/25/25/25/30","10","9","47","/2/5/4/4/5/6/5/5/5/6","43","1","/0/0/1/0/0/0/0/0/0/0","4.7000000000000001776","4.7777777777777776791","6936.8333333333330301684"
"6.6.1","win","2023-09-07","13:44:52","R_1FtXysBVSzPrx8h","979721772","1","142330","1","2","1","2","32","10","0","5","145","/0/0/80/0/0/0/65/0/0/0","10","2","137","/17/17/16/10/19/15/13/8/6/16","29","8","/1/1/0/1/1/1/0/1/1/1","13.6999999999999992895","14.5","2992.25"
"6.6.1","win","2023-09-07","12:46:38","R_3ELjZWNH83rKL1Y","979721799","1","48132","1","2","1","2","32","10","0","5","300","/35/80/0/40/40/60/0/0/25/20","10","7","82","/7/16/9/8/8/12/9/4/5/4","60","3","/0/0/1/0/0/0/1/1/0/0","8.1999999999999992895","8.5714285714285711748","6606.25"
"6.6.1","win","2023-09-07","10:46:06","R_28USiK1AZto53CZ","979721779","1","85065","1","2","1","2","32","10","0","5","185","/25/0/0/25/0/25/25/25/30/30","10","7","54","/5/7/4/5/6/5/5/5/6/6","37","3","/0/1/1/0/1/0/0/0/0/0","5.4000000000000003553","5.2857142857142855874","6485.6666666666669698316"
"6.6.1","win","2023-09-07","13:46:48","R_29ofaotuc62hYbb","979721795","1","54824","1","2","1","2","32","10","0","5","95","/0/10/10/10/10/10/15/15/0/15","10","8","24","/3/2/2/2/2/2/3/3/2/3","19","2","/1/0/0/0/0/0/0/0/1/0","2.3999999999999999112","2.375","6336.3333333333330301684"
"6.6.1","win","2023-09-07","11:46:35","R_3mgHEF1LOGJJDZt","979721802","1","69201","1","2","1","2","32","10","0","5","325","/15/75/0/105/0/50/80/0/0/0","10","5","125","/3/15/24/21/14/10/16/8/8/6","65","5","/0/0/1/0/1/0/0/1/1/1","12.5","13","6451.8333333333330301684"
"6.6.1","win","2023-09-07","13:43:28","R_2fiCgaTnYivVTZx","979721770","1","265325","1","2","1","2","32","10","0","5","415","/30/0/50/0/0/65/70/90/110/0","10","6","142","/6/1/10/29/23/13/14/18/22/6","83","4","/0/1/0/1/1/0/0/0/0/1","14.1999999999999992895","13.8333333333333339255","13338"
"6.6.1","win","2023-09-07","12:46:43","R_1KygB6v7cEzsV63","979721787","1","96698","1","2","1","2","32","10","0","5","185","/20/0/30/0/30/40/0/0/30/35","10","6","46","/4/2/6/2/6/8/1/4/6/7","37","4","/0/1/0/1/0/0/1/1/0/0","4.5999999999999996447","6.1666666666666669627","4003.5714285714284415008"
